<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260505;085900;32773;32773;32773;32773;14
SBRF;1;20260505;090000;32774;32775;32752;32766;205
SBRF;1;20260505;090100;32760;32766;32751;32751;80
SBRF;1;20260505;090200;32752;32752;32748;32748;135
SBRF;1;20260505;090300;32753;32755;32753;32755;12
SBRF;1;20260505;090400;32756;32760;32756;32760;34
SBRF;1;20260505;090500;32759;32766;32759;32766;67
SBRF;1;20260505;090600;32765;32765;32759;32759;43
SBRF;1;20260505;090700;32755;32757;32752;32752;75
SBRF;1;20260505;090800;32747;32753;32744;32744;36
SBRF;1;20260505;090900;32745;32748;32742;32742;17
SBRF;1;20260505;091000;32743;32743;32741;32741;3
SBRF;1;20260505;091100;32742;32742;32740;32740;13
SBRF;1;20260505;091200;32739;32743;32739;32743;24
SBRF;1;20260505;091300;32740;32744;32732;32732;48
SBRF;1;20260505;091400;32734;32740;32734;32739;13
SBRF;1;20260505;091500;32744;32744;32736;32736;23
SBRF;1;20260505;091600;32741;32741;32723;32723;89
SBRF;1;20260505;091700;32723;32723;32672;32682;462
SBRF;1;20260505;091800;32681;32687;32671;32686;274
SBRF;1;20260505;091900;32685;32685;32680;32682;42
SBRF;1;20260505;092000;32683;32683;32682;32683;16
SBRF;1;20260505;092100;32682;32682;32679;32682;105
SBRF;1;20260505;092200;32682;32686;32681;32686;19
SBRF;1;20260505;092300;32685;32686;32680;32686;30
SBRF;1;20260505;092400;32687;32690;32687;32690;23
SBRF;1;20260505;092500;32692;32696;32692;32696;18
SBRF;1;20260505;092600;32697;32697;32696;32696;14
SBRF;1;20260505;092700;32695;32696;32695;32696;3
SBRF;1;20260505;092800;32695;32699;32695;32699;61
SBRF;1;20260505;092900;32697;32697;32695;32695;4
SBRF;1;20260505;093000;32695;32696;32695;32695;14
SBRF;1;20260505;093100;32693;32700;32693;32699;44
SBRF;1;20260505;093200;32697;32697;32692;32692;6
SBRF;1;20260505;093300;32694;32699;32691;32696;33
SBRF;1;20260505;093400;32700;32706;32700;32706;24
SBRF;1;20260505;093500;32708;32720;32708;32720;31
SBRF;1;20260505;093600;32719;32719;32716;32719;24
SBRF;1;20260505;093700;32720;32741;32720;32731;218
SBRF;1;20260505;093800;32719;32719;32718;32718;8
SBRF;1;20260505;093900;32716;32716;32714;32716;27
SBRF;1;20260505;094000;32717;32722;32715;32715;20
SBRF;1;20260505;094100;32711;32714;32711;32713;14
SBRF;1;20260505;094200;32711;32711;32711;32711;5
SBRF;1;20260505;094300;32708;32708;32701;32704;19
SBRF;1;20260505;094400;32702;32703;32699;32699;27
SBRF;1;20260505;094500;32698;32698;32683;32688;27
SBRF;1;20260505;094600;32688;32688;32650;32656;458
SBRF;1;20260505;094700;32659;32659;32655;32655;84
SBRF;1;20260505;094800;32655;32675;32652;32674;162
SBRF;1;20260505;094900;32674;32678;32674;32675;84
SBRF;1;20260505;095000;32675;32679;32653;32654;101
SBRF;1;20260505;095100;32660;32671;32660;32667;74
SBRF;1;20260505;095200;32674;32675;32666;32667;26
SBRF;1;20260505;095300;32667;32669;32656;32660;74
SBRF;1;20260505;095400;32659;32659;32653;32655;11
SBRF;1;20260505;095500;32659;32663;32659;32663;18
SBRF;1;20260505;095600;32663;32689;32663;32689;54
SBRF;1;20260505;095700;32685;32686;32685;32686;9
SBRF;1;20260505;095800;32687;32690;32687;32689;11
SBRF;1;20260505;095900;32690;32690;32689;32690;28
SBRF;1;20260505;100000;32689;32696;32687;32696;287
SBRF;1;20260505;100100;32696;32696;32685;32689;30
SBRF;1;20260505;100200;32689;32717;32684;32717;178
SBRF;1;20260505;100300;32716;32732;32712;32732;71
SBRF;1;20260505;100400;32732;32732;32722;32731;136
SBRF;1;20260505;100500;32733;32790;32733;32775;851
SBRF;1;20260505;100600;32777;32790;32776;32787;233
SBRF;1;20260505;100700;32785;32789;32782;32785;96
SBRF;1;20260505;100800;32786;32789;32778;32778;123
SBRF;1;20260505;100900;32778;32779;32768;32768;33
SBRF;1;20260505;101000;32769;32776;32767;32767;28
SBRF;1;20260505;101100;32770;32770;32759;32765;77
SBRF;1;20260505;101200;32767;32769;32761;32765;11
SBRF;1;20260505;101300;32764;32767;32763;32766;9
SBRF;1;20260505;101400;32766;32766;32766;32766;2
SBRF;1;20260505;101500;32766;32772;32765;32772;91
SBRF;1;20260505;101600;32772;32776;32772;32775;28
SBRF;1;20260505;101700;32776;32776;32774;32774;3
SBRF;1;20260505;101800;32774;32774;32774;32774;10
SBRF;1;20260505;101900;32774;32774;32766;32767;85
SBRF;1;20260505;102000;32767;32776;32767;32773;65
SBRF;1;20260505;102100;32768;32768;32766;32766;46
SBRF;1;20260505;102200;32766;32766;32765;32765;19
SBRF;1;20260505;102300;32765;32765;32760;32760;52
SBRF;1;20260505;102400;32760;32764;32760;32764;6
SBRF;1;20260505;102500;32765;32771;32765;32771;4
SBRF;1;20260505;102600;32768;32768;32767;32768;20
SBRF;1;20260505;102700;32769;32769;32769;32769;2
SBRF;1;20260505;102900;32770;32770;32770;32770;7
SBRF;1;20260505;103000;32770;32780;32769;32779;59
SBRF;1;20260505;103100;32779;32780;32779;32779;12
SBRF;1;20260505;103200;32780;32807;32780;32799;314
SBRF;1;20260505;103300;32798;32799;32798;32798;17
SBRF;1;20260505;103400;32798;32798;32778;32778;337
SBRF;1;20260505;103500;32786;32795;32786;32794;42
SBRF;1;20260505;103600;32795;32798;32790;32790;73
SBRF;1;20260505;103700;32791;32796;32791;32796;3
SBRF;1;20260505;103800;32797;32797;32790;32797;52
SBRF;1;20260505;103900;32798;32800;32797;32798;29
SBRF;1;20260505;104000;32797;32798;32795;32795;25
SBRF;1;20260505;104100;32795;32795;32793;32793;4
SBRF;1;20260505;104200;32792;32792;32773;32774;113
SBRF;1;20260505;104300;32773;32783;32770;32776;101
SBRF;1;20260505;104400;32775;32784;32774;32780;129
SBRF;1;20260505;104500;32777;32787;32777;32785;44
SBRF;1;20260505;104600;32785;32785;32776;32782;8
SBRF;1;20260505;104700;32779;32784;32779;32784;10
SBRF;1;20260505;104800;32783;32783;32783;32783;1
SBRF;1;20260505;104900;32779;32779;32771;32771;30
SBRF;1;20260505;105000;32766;32766;32766;32766;10
SBRF;1;20260505;105100;32760;32760;32750;32750;112
SBRF;1;20260505;105200;32746;32752;32731;32737;184
SBRF;1;20260505;105300;32735;32735;32701;32701;370
SBRF;1;20260505;105400;32701;32714;32678;32696;432
SBRF;1;20260505;105500;32691;32691;32669;32670;167
SBRF;1;20260505;105600;32669;32670;32659;32660;178
SBRF;1;20260505;105700;32668;32672;32666;32666;83
SBRF;1;20260505;105800;32667;32667;32658;32659;129
SBRF;1;20260505;105900;32659;32659;32610;32610;451
